"","extent","id","area","x","y","lgn.1","lgn.2","lgn.3","lgn.4","lgn.5","lat.1","lat.2","lat.3","lat.4","lat.5","JulesMean","JulesSD","BioMean","BioSD","VisitsMean","VisitsSD"
"1","Blackdown Hills",254166,107029.793192227,-3.3406845098787,50.7423914147449,-3.3406845098787,-3.3406845098787,-3.32651461684355,-3.32651461684355,-3.3406845098787,50.7423914147449,50.7513798491855,50.7513798491855,50.7423914147449,50.7423914147449,15.1145269808803,0.529777231652903,38.3894030106057,0.978020758344697,34,1.88042188715527
"2","Blackdown Hills",247908,11182.7326730327,-3.42733435000463,50.7953215835477,-3.42733435000463,-3.42733435000463,-3.4131484535216,-3.4131484535216,-3.42733435000463,50.7953215835477,50.8043099343437,50.8043099343437,50.7953215835477,50.7953215835477,9.48502591917775,0.330271158043497,41.8699988164842,1.04879753514537,96,3.3054757005074
"3","Blackdown Hills",247907,12557.0707319989,-3.42760833235604,50.8043113361523,-3.42760833235604,-3.42760833235604,-3.41341971301272,-3.41341971301272,-3.42760833235604,50.8043113361523,50.8132996727446,50.8132996727446,50.8043113361523,50.8043113361523,8.77997743031634,0.254919246544805,38.9702492526179,1.23644787831061,69,3.01717821157725
"4","Blackdown Hills",259364,70621.0835266786,-3.27276809888089,50.8510686554949,-3.27276809888089,-3.27276809888089,-3.2585652948825,-3.2585652948825,-3.27276809888089,50.8510686554949,50.8600569182246,50.8600569182246,50.8510686554949,50.8510686554949,14.7281460988422,0.601754535079772,41.4849140863936,1.11974813965021,16,3.4012460403168
"5","Blackdown Hills",260406,393989.744081312,-3.2585662051058,50.8512227241786,-3.2585662051058,-3.2585662051058,-3.24436335430529,-3.24436335430529,-3.2585662051058,50.8512227241786,50.860210986665,50.860210986665,50.8512227241786,50.8512227241786,13.9938497055563,0.58839883513182,39.4490727346195,1.1013056795332,66,3.33831954314069
"6","Blackdown Hills",261448,2.22546783722646,-3.24436418737004,50.8513750650355,-3.24436418737004,-3.24436418737004,-3.23016129029189,-3.23016129029189,-3.24436418737004,50.8513750650355,50.8603633272813,50.8603633272813,50.8513750650355,50.8513750650355,19.2471978371566,1.31193215290177,44.6823834326078,0.991721878762533,53,2.80752802709088
"7","Blackdown Hills",258321,42217.8423123762,-3.28721740517517,50.8599030479555,-3.28721740517517,-3.28721740517517,-3.27301191684923,-3.27301191684923,-3.28721740517517,50.8599030479555,50.868891296732,50.868891296732,50.8599030479555,50.8599030479555,13.9603845461805,0.720962396505047,37.1200854489469,1.16976514886314,46,2.82214493360446
"8","Blackdown Hills",259363,1090.34304616181,-3.27301290753864,50.8600588940483,-3.27301290753864,-3.27301290753864,-3.25880737184674,-3.25880737184674,-3.27301290753864,50.8600588940483,50.8690471425786,50.8690471425786,50.8600588940483,50.8600588940483,20.1110386355561,1.35351296656291,39.831392293199,0.688347793574128,32,3.32400313034036
"9","Blackdown Hills",260405,363978.341894098,-3.2588082844606,50.8602130118001,-3.2588082844606,-3.2588082844606,-3.24460270192761,-3.24460270192761,-3.2588082844606,50.8602130118001,50.8692012600871,50.8692012600871,50.8602130118001,50.8602130118001,15.2581754007339,0.6194388851421,38.7074437507056,0.956729390534513,78,3.04826410727344
"10","Blackdown Hills",261447,145077.884880809,-3.24460353733856,50.8603654011753,-3.24460353733856,-3.24460353733856,-3.23039790848939,-3.23039790848939,-3.24460353733856,50.8603654011753,50.8693536492215,50.8693536492215,50.8603654011753,50.8603654011753,16.5591383398179,0.337025996592135,43.93476431604,1.08191917185403,12,2.73964233783958
"11","Blackdown Hills",267699,104359.452187007,-3.15937252795276,50.8612434395581,-3.15937252795276,-3.15937252795276,-3.14516663223077,-3.14516663223077,-3.15937252795276,50.8612434395581,50.8702316862176,50.8702316862176,50.8612434395581,50.8612434395581,16.828464600071,0.325465546381943,44.323573982146,0.83417291164121,25,3.06323029015296
"12","Blackdown Hills",258320,305446.478425736,-3.28746506989066,50.8688932220775,-3.28746506989066,-3.28746506989066,-3.27325684851097,-3.27325684851097,-3.28746506989066,50.8688932220775,50.8778814566554,50.8778814566554,50.8688932220775,50.8688932220775,14.3673720320283,0.835709714083947,42.7454671046983,1.04106652177657,60,2.64061766719393
"13","Blackdown Hills",259362,47922.822701219,-3.27325784163802,50.8690491178073,-3.27325784163802,-3.27325784163802,-3.25904957285292,-3.25904957285292,-3.27325784163802,50.8690491178073,50.8780373521391,50.8780373521391,50.8690491178073,50.8690491178073,15.1844559898913,0.524086277264415,42.7781205139581,1.20963880677442,63,3.09311287166545
"14","Blackdown Hills",270820,44490.2448062776,-3.11783102382552,50.9066126441592,-3.11783102382552,-3.11783102382552,-3.1036113202445,-3.1036113202445,-3.11783102382552,50.9066126441592,50.9156008191745,50.9156008191745,50.9066126441592,50.9066126441592,19.6324810216228,0.7117380867764,43.1851087832493,1.14142745391123,58,2.86679587768775
"15","Blackdown Hills",271862,207408.657981917,-3.10361144130963,50.9067479632176,-3.10361144130963,-3.10361144130963,-3.08939169649142,-3.08939169649142,-3.10361144130963,50.9067479632176,50.9157361380192,50.9157361380192,50.9067479632176,50.9067479632176,16.8726442461935,0.371356136101596,40.2312078659611,1.07592492542702,37,4.03628382626718
"16","Blackdown Hills",272904,963.732265279861,-3.08939174976122,50.9068815507773,-3.08939174976122,-3.08939174976122,-3.07517196423316,-3.07517196423316,-3.08939174976122,50.9068815507773,50.9158697253679,50.9158697253679,50.9068815507773,50.9068815507773,19.1710458106477,1.31160574063092,40.896664076456,0.792156945591411,79,3.13513578245509
"17","Blackdown Hills",270819,115528.66460806,-3.1180464672231,50.9156033046222,-3.1180464672231,-3.1180464672231,-3.10382402312937,-3.10382402312937,-3.1180464672231,50.9156033046222,50.9245914654424,50.9245914654424,50.9156033046222,50.9156033046222,18.9228603598896,1.43999741970546,40.1835970581428,1.14190685419634,17,2.99148527279019
"18","Blackdown Hills",271861,351689.616172538,-3.10382414613518,50.9157386667968,-3.10382414613518,-3.10382414613518,-3.08960166076989,-3.08960166076989,-3.10382414613518,50.9157386667968,50.9247268274033,50.9247268274033,50.9157386667968,50.9157386667968,17.18402789559,0.410148930521507,45.7671413592138,0.931767773399985,8,2.35205680250633
"19","Blackdown Hills",260398,46764.8005345888,-3.26050631785575,50.9231446114574,-3.26050631785575,-3.26050631785575,-3.24628157395052,-3.24628157395052,-3.26050631785575,50.9231446114574,50.9321327603715,50.9321327603715,50.9231446114574,50.9231446114574,13.7728105944957,0.263259721310221,38.0371439218022,0.907798876425048,31,3.17674964795404
"20","Blackdown Hills",273944,1128.37953769602,-3.07558651180566,50.9249949685744,-3.07558651180566,-3.07558651180566,-3.0613612034603,-3.0613612034603,-3.07558651180566,50.9249949685744,50.9339831145673,50.9339831145673,50.9249949685744,50.9249949685744,16.0026192666822,0.553314515780457,46.3673422470716,1.06627852706801,20,2.19776682058083
"21","Blackdown Hills",274986,92916.1554897428,-3.06136112741846,50.9251251759832,-3.06136112741846,-3.06136112741846,-3.04713577935187,-3.04713577935187,-3.06136112741846,50.9251251759832,50.9341133217705,50.9341133217705,50.9251251759832,50.9251251759832,16.5869863720162,0.431338519656059,38.5303698679957,1.09918671020927,73,2.26388184049227
"22","Blackdown Hills",259355,3748.38255515974,-3.27497589979441,50.9319802699106,-3.27497589979441,-3.27497589979441,-3.26074846008673,-3.26074846008673,-3.27497589979441,50.9319802699106,50.9409684048759,50.9409684048759,50.9319802699106,50.9319802699106,15.2387032407677,0.347780511341994,38.5906087991026,1.00781161405464,41,3.48918566200375
"23","Blackdown Hills",260397,439841.104110445,-3.26074939190329,50.9321347808853,-3.26074939190329,-3.26074939190329,-3.24652190504142,-3.24652190504142,-3.26074939190329,50.9321347808853,50.9411229156066,50.9411229156066,50.9321347808853,50.9321347808853,13.0312639580029,0.4641405037909,35.5104941184676,0.967790179218632,29,3.43075010440247
"24","Blackdown Hills",261439,129295.95954212,-3.24652275929871,50.9322875590758,-3.24652275929871,-3.24652275929871,-3.23229522581107,-3.23229522581107,-3.24652275929871,50.9322875590758,50.9412756935559,50.9412756935559,50.9322875590758,50.9322875590758,13.154825832555,0.459247136301793,35.539839356435,0.96219880045661,38,2.80329783583413
"25","Blackdown Hills",270817,89929.9327070401,-3.11847768562276,50.9335845817599,-3.11847768562276,-3.11847768562276,-3.10424975628546,-3.10424975628546,-3.11847768562276,50.9335845817599,50.9425727141925,50.9425727141925,50.9335845817599,50.9335845817599,19.8147113404947,1.21421962371362,38.0943380368821,0.980235984874545,37,2.87864426196711
"26","Blackdown Hills",271859,251992.605251962,-3.10424988317795,50.9337200302166,-3.10424988317795,-3.10424988317795,-3.09002191250026,-3.09002191250026,-3.10424988317795,50.9337200302166,50.9427081624354,50.9427081624354,50.9337200302166,50.9337200302166,19.6455976750726,1.29714765572023,37.5300514415763,0.865240447109236,57,3.10103642515087
"27","Blackdown Hills",272901,93850.6558536226,-3.09002197148015,50.9338537455196,-3.09002197148015,-3.09002197148015,-3.07579395999073,-3.07579395999073,-3.09002197148015,50.9338537455196,50.9428418775273,50.9428418775273,50.9338537455196,50.9338537455196,16.1641412385993,0.629470158932576,41.2310457858498,1.25434590251733,55,2.27043117681579
"28","Blackdown Hills",273943,516214.574138244,-3.07579395193529,50.9339857276377,-3.07579395193529,-3.07579395193529,-3.06156590016283,-3.06156590016283,-3.07579395193529,50.9339857276377,50.942973859437,50.942973859437,50.9339857276377,50.9339857276377,16.2720484491774,0.555661682946318,40.4905331211405,1.0542839599251,29,2.8821582885325
"29","Blackdown Hills",274985,849152.336968575,-3.06156582594935,50.9341159765401,-3.06156582594935,-3.06156582594935,-3.04733773442256,-3.04733773442256,-3.06156582594935,50.9341159765401,50.9431041081338,50.9431041081338,50.9341159765401,50.9341159765401,16.8221859309925,0.409580448399559,43.9305891000188,0.863343451721813,46,3.89117896963053
"30","Blackdown Hills",276027,771446.327704594,-3.0473375949284,50.9342444921964,-3.0473375949284,-3.0473375949284,-3.033109464176,-3.033109464176,-3.0473375949284,50.9342444921964,50.9432326235872,50.9432326235872,50.9342444921964,50.9342444921964,16.3172131899954,0.35902955230121,37.1393937415877,0.900436689465424,97,3.0633579067212
