"","extent","id","lgn.1","lgn.2","lgn.3","lgn.4","lgn.5","lat.1","lat.2","lat.3","lat.4","lat.5"
"1218","Matterdale",286040,-2.98427092048537,-2.98427092048537,-2.9687970249487,-2.9687970249487,-2.98427092048537,54.5936767727976,54.6026592094909,54.6026592094909,54.5936767727976,54.5936767727976
"1219","Matterdale",287082,-2.96879692622295,-2.96879692622295,-2.95332298333516,-2.95332298333516,-2.96879692622295,54.5938016416771,54.6027840781794,54.6027840781794,54.5938016416771,54.5938016416771
"1220","Matterdale",288124,-2.95332281425589,-2.95332281425589,-2.9378488247666,-2.9378488247666,-2.95332281425589,54.5939245328009,54.6029069691152,54.6029069691152,54.5939245328009,54.5939245328009
"1508","Broughton Moor",273565,-3.16253800936127,-3.16253800936127,-3.14716275218633,-3.14716275218633,-3.16253800936127,54.3314563813869,54.3404392197996,54.3404392197996,54.3314563813869,54.3314563813869
"1509","Broughton Moor",274607,-3.14716350844161,-3.14716350844161,-3.13178819634429,-3.13178819634429,-3.14716350844161,54.3316035671031,54.34058640529,54.34058640529,54.3316035671031,54.3316035671031
"1510","Broughton Moor",272522,-3.17816931166558,-3.17816931166558,-3.16279075642125,-3.16279075642125,-3.17816931166558,54.3402924813892,54.3492753062469,54.3492753062469,54.3402924813892,54.3402924813892
"1511","Broughton Moor",273564,-3.16279159877441,-3.16279159877441,-3.14741298782844,-3.14741298782844,-3.16279159877441,54.3404416746767,54.3494244993056,54.3494244993056,54.3404416746767,54.3404416746767
"1517","Purbeck",352126,-2.00843279386979,-2.00843279386979,-1.9942930652209,-1.9942930652209,-2.00843279386979,50.6421885701372,50.6511771630016,50.6511771630016,50.6421885701372,50.6421885701372
"1518","Purbeck",353168,-1.9942905185099,-1.9942905185099,-1.98015078980172,-1.98015078980172,-1.9942905185099,50.6421887676738,50.651177360538,50.651177360538,50.6421887676738,50.6421887676738
"1523","Purbeck",353167,-1.99428947938786,-1.99428947938786,-1.98014705058137,-1.98014705058137,-1.99428947938786,50.6511815527711,50.6601701314134,50.6601701314134,50.6511815527711,50.6511815527711
"1524","Purbeck",354209,-1.98014450486383,-1.98014450486383,-1.96600207651361,-1.96600207651361,-1.98014450486383,50.6511800335779,50.6601686122227,50.6601686122227,50.6511800335779,50.6511800335779
"1748","Queen Elizabeth Country Park",429201,-0.955405527930288,-0.955405527930288,-0.941177388224996,-0.941177388224996,-0.955405527930288,50.9342738246029,50.9432619559474,50.9432619559474,50.9342738246029,50.9342738246029
"1749","Queen Elizabeth Country Park",429200,-0.955204098763137,-0.955204098763137,-0.94097321414978,-0.94097321414978,-0.955204098763137,50.9432646607518,50.9522527779035,50.9522527779035,50.9432646607518,50.9432646607518
"1750","Queen Elizabeth Country Park",430242,-0.940973100983586,-0.940973100983586,-0.926742255506745,-0.926742255506745,-0.940973100983586,50.9431365031745,50.9521246205285,50.9521246205285,50.9431365031745,50.9431365031745
"1751","Queen Elizabeth Country Park",430241,-0.940768823938846,-0.940768823938846,-0.926535232177829,-0.926535232177829,-0.940768823938846,50.9521272839646,50.9611153871267,50.9611153871267,50.9521272839646,50.9521272839646
"1752","Queen Elizabeth Country Park",431282,-0.926328058780032,-0.926328058780032,-0.912091759057044,-0.912091759057044,-0.926328058780032,50.9609880760292,50.9699761652054,50.9699761652054,50.9609880760292,50.9609880760292
"1753","Queen Elizabeth Country Park",427116,-0.983666403052237,-0.983666403052237,-0.969435441753448,-0.969435441753448,-0.983666403052237,50.9435157743721,50.9525038911274,50.9525038911274,50.9435157743721,50.9435157743721
"1754","Queen Elizabeth Country Park",428158,-0.969435199921737,-0.969435199921737,-0.955204276701057,-0.955204276701057,-0.969435199921737,50.9433910844941,50.9523792014463,50.9523792014463,50.9433910844941,50.9433910844941
"1755","Queen Elizabeth Country Park",427115,-0.983470359711551,-0.983470359711551,-0.969236652032016,-0.969236652032016,-0.983470359711551,50.9525066760502,50.9614947786135,50.9614947786135,50.9525066760502,50.9525066760502
"1756","Queen Elizabeth Country Park",428157,-0.96923641194398,-0.96923641194398,-0.955002742374302,-0.955002742374302,-0.96923641194398,50.9523819464287,50.9613700491888,50.9613700491888,50.9523819464287,50.9523819464287
"1757","Queen Elizabeth Country Park",429199,-0.955002566217045,-0.955002566217045,-0.940768935286881,-0.940768935286881,-0.955002566217045,50.9522554823903,50.9612435853501,50.9612435853501,50.9522554823903,50.9522554823903
"1758","Queen Elizabeth Country Park",427114,-0.983274215738495,-0.983274215738495,-0.969037760268461,-0.969037760268461,-0.983274215738495,50.9614975632493,50.9704856516214,50.9704856516214,50.9614975632493,50.9614975632493
"1759","Queen Elizabeth Country Park",428156,-0.969037521925691,-0.969037521925691,-0.954801104597294,-0.954801104597294,-0.969037521925691,50.9613727938689,50.9703608824379,50.9703608824379,50.9613727938689,50.9613727938689
"1760","Queen Elizabeth Country Park",429198,-0.954800930222327,-0.954800930222327,-0.940564551565664,-0.940564551565664,-0.954800930222327,50.961246289519,50.9702343782876,50.9702343782876,50.961246289519,50.961246289519
"1761","Queen Elizabeth Country Park",430240,-0.940564442037448,-0.940564442037448,-0.926328102582595,-0.926328102582595,-0.940564442037448,50.9611180502291,50.9701061392001,50.9701061392001,50.9611180502291,50.9611180502291
"1762","Queen Elizabeth Country Park",427113,-0.983077971065215,-0.983077971065215,-0.968838766393979,-0.968838766393979,-0.983077971065215,50.97048843597,50.9794765101517,50.9794765101517,50.97048843597,50.97048843597
"1763","Queen Elizabeth Country Park",428155,-0.968838529798072,-0.968838529798072,-0.954599363300282,-0.954599363300282,-0.968838529798072,50.9703636268153,50.979351701194,50.979351701194,50.9703636268153,50.9703636268153
"1764","Queen Elizabeth Country Park",429197,-0.954599190709233,-0.954599190709233,-0.940360062915429,-0.940360062915429,-0.954599190709233,50.9702370821384,50.9792251567168,50.9792251567168,50.9702370821384,50.9702370821384
"1765","Queen Elizabeth Country Park",430239,-0.940359955208693,-0.940359955208693,-0.926120866649393,-0.926120866649393,-0.940359955208693,50.9701088019687,50.9790968767495,50.9790968767495,50.9701088019687,50.9701088019687
"1766","Queen Elizabeth Country Park",431281,-0.926120824706381,-0.926120824706381,-0.911881775912082,-0.911881775912082,-0.926120824706381,50.9699787863361,50.9789668613222,50.9789668613222,50.9699787863361,50.9699787863361
"1767","Queen Elizabeth Country Park",428154,-0.968639435492256,-0.968639435492256,-0.954397518413449,-0.954397518413449,-0.968639435492256,50.9793544452686,50.9883425054578,50.9883425054578,50.9793544452686,50.9793544452686
"1795","Micheldever",414600,-1.15248551137304,-1.15248551137304,-1.13822108041961,-1.13822108041961,-1.15248551137304,51.0527718829202,51.0617598272717,51.0617598272717,51.0527718829202,51.0527718829202
"1796","Micheldever",406258,-1.26575810902124,-1.26575810902124,-1.25147683615856,-1.25147683615856,-1.26575810902124,51.1074916931185,51.1164795511695,51.1164795511695,51.1074916931185,51.1074916931185
"1797","Micheldever",407300,-1.25147552102411,-1.25147552102411,-1.23719427606738,-1.23719427606738,-1.25147552102411,51.1074011679535,51.1163890261472,51.1163890261472,51.1074011679535,51.1074011679535
"1798","Micheldever",408342,-1.23719300774663,-1.23719300774663,-1.22291179123342,-1.22291179123342,-1.23719300774663,51.1073088984374,51.1162967567766,51.1162967567766,51.1073088984374,51.1073088984374
"1799","Micheldever",406257,-1.26561565965472,-1.26561565965472,-1.25133161433781,-1.25133161433781,-1.26561565965472,51.1164830178267,51.1254708617002,51.1254708617002,51.1164830178267,51.1164830178267
"1800","Micheldever",407299,-1.25133030033234,-1.25133030033234,-1.2370462829447,-1.2370462829447,-1.25133030033234,51.1163924637703,51.1253803077865,51.1253803077865,51.1163924637703,51.1163924637703
"1801","Micheldever",406256,-1.26547313694453,-1.26547313694453,-1.25118631774585,-1.25118631774585,-1.26547313694453,51.1254743283309,51.1344621580276,51.1344621580276,51.1254743283309,51.1254743283309
"1802","Micheldever",407298,-1.25118500487042,-1.25118500487042,-1.23689821362436,-1.23689821362436,-1.25118500487042,51.1253837453717,51.1343715752113,51.1343715752113,51.1253837453717,51.1253837453717
"1803","Micheldever",408340,-1.23689694761723,-1.23689694761723,-1.22261018486227,-1.22261018486227,-1.23689694761723,51.1252914169482,51.1342792469334,51.1342792469334,51.1252914169482,51.1252914169482
"1804","Micheldever",406255,-1.26533054084097,-1.26533054084097,-1.25104094633204,-1.25104094633204,-1.26533054084097,51.1344656246317,51.1434534401527,51.1434534401527,51.1344656246317,51.1344656246317
"1805","Micheldever",407297,-1.25103963458769,-1.25103963458769,-1.23675006805474,-1.23675006805474,-1.25103963458769,51.1343750127588,51.1433628284226,51.1433628284226,51.1343750127588,51.1343750127588
"1806","Micheldever",408339,-1.23674880320602,-1.23674880320602,-1.22245926518798,-1.22245926518798,-1.23674880320602,51.1342826548645,51.1432704706739,51.1432704706739,51.1342826548645,51.1342826548645
"1809","Micheldever",409380,-1.22230705190812,-1.22230705190812,-1.2080147662757,-1.2080147662757,-1.22230705190812,51.1431797446221,51.1521675464051,51.1521675464051,51.1431797446221,51.1431797446221
"2156","Plym",198977,-4.07672425596226,-4.07672425596226,-4.06265707677235,-4.06265707677235,-4.07672425596226,50.3988217267522,50.4078107047857,50.4078107047857,50.3988217267522,50.3988217267522
"2158","Plym",197934,-4.09118028475215,-4.09118028475215,-4.07711051884728,-4.07711051884728,-4.09118028475215,50.4075569152611,50.4165458794601,50.4165458794601,50.4075569152611,50.4075569152611
"2159","Plym",198976,-4.07711724626081,-4.07711724626081,-4.06304740569573,-4.06304740569573,-4.07711724626081,50.4078089743073,50.4167979381071,50.4167979381071,50.4078089743073,50.4078089743073
"2184","Savernake & Bedwyn",379138,-1.6351425238104,-1.6351425238104,-1.620782529886,-1.620782529886,-1.6351425238104,51.3610003878896,51.369987846536,51.369987846536,51.3610003878896,51.3610003878896
"2185","Savernake & Bedwyn",380180,-1.62078032637813,-1.62078032637813,-1.60642034670842,-1.60642034670842,-1.62078032637813,51.3609548163274,51.3699422750456,51.3699422750456,51.3609548163274,51.3609548163274
"2186","Savernake & Bedwyn",373927,-1.70689669470203,-1.70689669470203,-1.69253382445626,-1.69253382445626,-1.70689669470203,51.370193392264,51.3791808364398,51.3791808364398,51.370193392264,51.370193392264
"2187","Savernake & Bedwyn",374969,-1.69253151449135,-1.69253151449135,-1.6781686557567,-1.6781686557567,-1.69253151449135,51.3701566113141,51.3791440555477,51.3791440555477,51.3701566113141,51.3701566113141
"2188","Savernake & Bedwyn",376011,-1.67816636539905,-1.67816636539905,-1.66380351872665,-1.66380351872665,-1.67816636539905,51.3701180693078,51.3791055136021,51.3791055136021,51.3701180693078,51.3701180693078
"2189","Savernake & Bedwyn",379137,-1.63507111938142,-1.63507111938142,-1.6207083122024,-1.6207083122024,-1.63507111938142,51.3699918770441,51.378979321537,51.378979321537,51.3699918770441,51.3699918770441
