"","extent","id","area","x","y","lgn.1","lgn.2","lgn.3","lgn.4","lgn.5","lat.1","lat.2","lat.3","lat.4","lat.5","JulesMean","JulesSD","BioMean","BioSD","VisitsMean","VisitsSD"
"26","Blackdown Hills",271859,251992.605251962,-3.10424988317795,50.9337200302166,-3.10424988317795,-3.10424988317795,-3.09002191250026,-3.09002191250026,-3.10424988317795,50.9337200302166,50.9427081624354,50.9427081624354,50.9337200302166,50.9337200302166,19.0201470725028,1.46892156550365,42.3926877836767,1.12988360483616,61,2.5451721312579
"27","Blackdown Hills",272901,93850.6558536226,-3.09002197148015,50.9338537455196,-3.09002197148015,-3.09002197148015,-3.07579395999073,-3.07579395999073,-3.09002197148015,50.9338537455196,50.9428418775273,50.9428418775273,50.9338537455196,50.9338537455196,16.2144699449174,1.37829194656601,39.1941309090208,1.02691811463351,12,2.80185023082371
"28","Blackdown Hills",273943,516214.574138244,-3.07579395193529,50.9339857276377,-3.07579395193529,-3.07579395193529,-3.06156590016283,-3.06156590016283,-3.07579395193529,50.9339857276377,50.942973859437,50.942973859437,50.9339857276377,50.9339857276377,16.4772723237915,1.32232697888367,38.7750423484011,0.967291728703819,25,2.0369762749898
"29","Blackdown Hills",274985,849152.336968575,-3.06156582594935,50.9341159765401,-3.06156582594935,-3.06156582594935,-3.04733773442256,-3.04733773442256,-3.06156582594935,50.9341159765401,50.9431041081338,50.9431041081338,50.9341159765401,50.9341159765401,16.7505447609549,1.32488318422845,41.0901760005093,0.972948050947617,11,2.33194014069787
"30","Blackdown Hills",276027,771446.327704594,-3.0473375949284,50.9342444921964,-3.0473375949284,-3.0473375949284,-3.033109464176,-3.033109464176,-3.0473375949284,50.9342444921964,50.9432326235872,50.9432326235872,50.9342444921964,50.9342444921964,10.6224995916053,2.36513542182608,40.3002049161577,0.934558913261263,27,3.34891802007868
"31","Blackdown Hills",277069,154665.244982253,-3.03310926027855,50.9343712745768,-3.03310926027855,-3.03310926027855,-3.01888109082929,-3.01888109082929,-3.03310926027855,50.9343712745768,50.9433594057675,50.9433594057675,50.9343712745768,50.9343712745768,9.37210097637429,2.67086751261986,43.0961412225038,1.07880334751705,39,2.10934654331182
"32","Blackdown Hills",260396,12296.0477397222,-3.26099259066439,50.9411249355407,-3.26099259066439,-3.26099259066439,-3.24676235943862,-3.24676235943862,-3.26099259066439,50.9411249355407,50.9501130560701,50.9501130560701,50.9411249355407,50.9411249355407,14.9372292715857,1.45547645751731,33.2184518939524,1.08584453437356,21,2.89369096741335
"33","Blackdown Hills",261438,0.175497618416557,-3.24676321606134,50.941277762417,-3.24676321606134,-3.24676321606134,-3.23253293817093,-3.23253293817093,-3.24676321606134,50.941277762417,50.9502658827052,50.9502658827052,50.941277762417,50.941277762417,15.9607198420354,1.53140383530004,39.6150382915145,0.938750068881121,25,2.14754862815489
"34","Blackdown Hills",266648,182650.279041294,-3.17561452029895,50.942015895525,-3.17561452029895,-3.17561452029895,-3.16138401701891,-3.16138401701891,-3.17561452029895,50.942015895525,50.951004014648,50.951004014648,50.942015895525,50.942015895525,17.0199331437537,1.48035673835713,42.6273692332248,1.05247761495489,7,2.81747806483097
"35","Blackdown Hills",267690,3836.65386616252,-3.16138442644115,50.9421583216509,-3.16138442644115,-3.16138442644115,-3.14715387967006,-3.14715387967006,-3.16138442644115,50.9421583216509,50.951146440549,50.951146440549,50.9421583216509,50.9421583216509,17.661646698529,1.37661974157495,36.424500623542,0.905100987691767,16,3.23153507429078
